id,nome
101-5,"Órgão Público do Poder Executivo Federal"
102-3,"Órgão Público do Poder Executivo Estadual ou do Distrito Federal"
103-1,"Órgão Público do Poder Executivo Municipal"
104-0,"Órgão Público do Poder Legislativo Federal"
105-8,"Órgão Público do Poder Legislativo Estadual ou do Distrito Federal"
106-6,"Órgão Público do Poder Legislativo Municipal"
107-4,"Órgão Público do Poder Judiciário Federal"
108-2,"Órgão Público do Poder Judiciário Estadual"
110-4,"Autarquia Federal"
111-2,"Autarquia Estadual ou do Distrito Federal"
112-0,"Autarquia Municipal"
113-9,"Fundação Pública de Direito Público Federal"
114-7,"Fundação Pública de Direito Público Estadual ou do Distrito Federal"
115-5,"Fundação Pública de Direito Público Municipal"
116-3,"Órgão Público Autônomo Federal"
117-1,"Órgão Público Autônomo Estadual ou do Distrito Federal"
118-0,"Órgão Público Autônomo Municipal"
119-8,"Comissão Polinacional"
120-1,"Fundo Público da Administração Direta Federal"
121-0,"Fundo Público da Administração Direta Estadual ou do Distrito Federal"
122-8,"Fundo Público da Administração Direta Municipal"
123-6,"Fundação Pública de Direito Privado Federal"
124-4,"Fundação Pública de Direito Privado Estadual ou do Distrito Federal"
125-2,"Fundação Pública de Direito Privado Municipal"
126-0,"Consórcio Público de Direito Público (Associação Pública)"
127-9,"Consórcio Público de Direito Privado"
128-7,"Estado ou Distrito Federal"
129-5,"Município"
130-9,"Fundação ou Associação Domiciliada no Exterior"
131-7,"Organização Internacional"
132-5,"Comissão Polinacional"
133-3,"Fundo Público da Administração Indireta Federal"
134-1,"Fundo Público da Administração Indireta Estadual ou do Distrito Federal"
135-0,"Fundo Público da Administração Indireta Municipal"
201-1,"Empresa Pública"
203-8,"Sociedade de Economia Mista"
204-6,"Sociedade Anônima Aberta"
205-4,"Sociedade Anônima Fechada"
206-2,"Sociedade Empresária Limitada"
207-0,"Sociedade Empresária em Nome Coletivo"
208-9,"Sociedade Empresária em Comandita Simples"
209-7,"Sociedade Empresária em Comandita por Ações"
212-7,"Sociedade em Conta de Participação"
213-5,"Empresário (Individual)"
214-3,"Cooperativa"
215-1,"Consórcio de Sociedades"
216-0,"Grupo de Sociedades"
217-8,"Estabelecimento, no Brasil, de Sociedade Estrangeira"
219-4,"Estabelecimento, no Brasil, de Empresa Binacional Argentino-Brasileira"
221-6,"Empresa Domiciliada no Exterior"
222-4,"Clube/Fundo de Investimento"
223-2,"Sociedade Simples Pura"
224-0,"Sociedade Simples Limitada"
225-9,"Sociedade Simples em Nome Coletivo"
226-7,"Sociedade Simples em Comandita Simples"
227-5,"Empresa Binacional"
228-3,"Consórcio de Empregadores"
229-1,"Consórcio Simples"
230-5,"Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)"
231-3,"Empresa Individual de Responsabilidade Limitada (de Natureza Simples)"
232-1,"Sociedade Unipessoal de Advogados"
233-0,"Cooperativas de Consumo"
234-8,"Empresa Simples de Inovação - Inova Simples"
235-6,"Investidor Não Residente"
303-4,"Serviço Notarial e Registral (Cartório)"
306-9,"Fundação Privada"
307-7,"Serviço Social Autônomo"
308-5,"Condomínio Edilício"
310-7,"Comissão de Conciliação Prévia"
311-5,"Entidade de Mediação e Arbitragem"
312-3,"Partido Político"
313-1,"Entidade Sindical"
320-4,"Estabelecimento, no Brasil, de Fundação ou Associação Estrangeiras"
321-2,"Fundação ou Associação Domiciliada no Exterior"
322-0,"Organização Religiosa"
323-9,"Comunidade Indígena"
324-7,"Fundo Privado"
325-5,"Órgão de Direção Nacional de Partido Político"
326-3,"Órgão de Direção Regional de Partido Político"
327-1,"Órgão de Direção Local de Partido Político"
328-0,"Comitê Financeiro de Partido Político"
329-8,"Frente Plebiscitária ou Referendária"
330-1,"Organização Social (OS)"
331-0,"Demais Condomínios"
332-8,"Plano de Benefícios de Previdência Complementar Fechada"
333-6,"Plano de Benefícios de Previdência Complementar Aberta"
334-4,"Plano de Benefícios de Saúde"
335-2,"Plano de Benefícios de Pecúlio"
336-0,"Plano de Benefícios de Pensão"
337-9,"Plano de Benefícios de Aposentadoria"
338-7,"Plano de Benefícios de Invalidez"
339-5,"Plano de Benefícios de Acidentes Pessoais"
340-9,"Plano de Benefícios de Vida"
341-7,"Plano de Benefícios de Assistência Funeral"
342-5,"Plano de Benefícios de Natalidade"
343-3,"Plano de Benefícios de Casamento"
344-1,"Plano de Benefícios de Educação"
345-0,"Plano de Benefícios de Alimentação"
346-8,"Plano de Benefícios de Transporte"
347-6,"Plano de Benefícios de Moradia"
348-4,"Plano de Benefícios de Vestuário"
349-2,"Plano de Benefícios de Lazer"
350-6,"Plano de Benefícios de Cultura"
351-4,"Plano de Benefícios de Esporte"
352-2,"Plano de Benefícios de Turismo"
353-0,"Plano de Benefícios de Outros"
399-9,"Associação Privada"
401-4,"Empresa Individual Imobiliária"
402-2,"Segurado Especial"
408-1,"Contribuinte individual"
409-0,"Candidato a Cargo Político Eletivo"
411-1,"Leiloeiro"
412-0,"Produtor Rural (Pessoa Física)"
501-0,"Organização Internacional"
502-9,"Representação Diplomática Estrangeira"
503-7,"Outras Instituições Extraterritoriais"
-1,"Não Informado"
